component,layer,head,abs_delta,std,n,sem,ci95
z,0,9,5.650390625,4.17959449456502,50,0.5910839219433772,1.1585244870090194
z,0,3,0.57796875,0.5689137881916084,50,0.0804565595081627,0.1576948566359989
z,8,1,0.485263671875,0.4556324411373375,50,0.06443615777135836,0.1262948692318624
z,12,11,0.463359375,0.5159361586115184,50,0.07296439128270857,0.1430102069141088
z,0,0,0.428154296875,0.4503336978573524,50,0.06368680231034954,0.12482613252828509
z,10,10,0.4078515625,0.30559818566512637,50,0.04321810988042329,0.08470749536562965
z,16,1,0.38701171875,0.3108350973045652,50,0.04395872102696768,0.08615909321285664
z,8,10,0.356474609375,0.4423063136593451,50,0.06255155875002939,0.1226010551500576
z,5,9,0.35599609375,0.25997661662087507,50,0.03676624571251121,0.07206184159652197
z,12,1,0.342958984375,0.3090973385991215,50,0.043712964834030636,0.08567741107470005
z,0,11,0.33205078125,0.25496780485353115,50,0.036057892759236036,0.07067346980810263
z,15,6,0.32888671875,0.35237881661041565,50,0.04983389015434315,0.09767442470251257
z,13,9,0.3240234375,0.23530040918023803,50,0.033276502989463136,0.06522194585934775
z,13,1,0.310361328125,0.32896174133278566,50,0.04652221560946954,0.0911835425945603
z,0,4,0.2954296875,0.4775682631123992,50,0.06753835146525176,0.13237516887189346
z,9,11,0.293857421875,0.2487636999606744,50,0.03518049983104971,0.06895377966885743
z,2,2,0.29123046875,0.2504577758487635,50,0.035420078340712195,0.0694233535477959
z,0,6,0.28533203125,0.319660588752203,50,0.04520683399695339,0.08860539463402864
z,13,11,0.28,0.2023469202828627,50,0.028616175896845193,0.056087704757816575
z,12,7,0.27365234375,0.21211171114690963,50,0.0299971258642124,0.0587943666938563
z,9,10,0.2605078125,0.19678923058032463,50,0.02783019988156613,0.05454719176786961
z,10,11,0.242705078125,0.1736449204686741,50,0.024557100156399638,0.04813191630654329
z,18,4,0.242431640625,0.19112504912115197,50,0.027029163657635708,0.05297716076896599
z,10,3,0.2380078125,0.20395940937343318,50,0.028844216290951536,0.05653466393026501
z,10,5,0.233046875,0.17096260070107022,50,0.02417776285700295,0.04738841519972578
z,11,9,0.224501953125,0.17654366512468675,50,0.024967044557038597,0.04893540733179565
z,1,7,0.222998046875,0.23346122579233083,50,0.033016403180376165,0.06471215023353728
z,18,1,0.22220703125,0.18580127397516416,50,0.026276268156187634,0.051501485586127764
z,18,2,0.21744140625,0.21775825364467372,50,0.0307956675622978,0.06035950842210369
z,17,3,0.212509765625,0.18014058434900246,50,0.025475725752017377,0.04993242247395406
z,8,8,0.2083203125,0.18175807026431082,50,0.02570447280385503,0.050380766695555856
z,10,8,0.20791015625,0.21685396380170202,50,0.03066778166627312,0.060108852065895314
z,16,6,0.2015625,0.16323197460045166,50,0.02308448722928993,0.04524559496940826
z,0,7,0.2011328125,0.18937037854591304,50,0.02678101576513572,0.05249079089966601
z,5,6,0.196240234375,0.14978342348154808,50,0.0211825748906278,0.04151784678563049
z,13,6,0.192509765625,0.19452664992283175,50,0.027510222656387185,0.05392003640651888
z,16,9,0.192509765625,0.15514700102346385,50,0.021941099300889503,0.043004554629743424
z,14,7,0.19185546875,0.15024431016138262,50,0.02124775410996171,0.04164559805552495
z,15,9,0.19173828125,0.16413993053680107,50,0.02321289158921218,0.04549726751485587
z,17,2,0.190869140625,0.14580946542551768,50,0.0206205723527138,0.040416321811319045
z,8,5,0.19013671875,0.14596227908199388,50,0.020642183467264246,0.040458679595837925
z,3,4,0.18947265625,0.1713793786175659,50,0.02423670415520353,0.04750394014419892
z,8,7,0.185771484375,0.21958965073547207,50,0.031054666222687568,0.06086714579646763
z,13,8,0.183173828125,0.1313631217157128,50,0.018577550832602867,0.03641199963190162
z,7,6,0.1814453125,0.26944944217141104,50,0.038105905549267446,0.07468757487656419
z,2,9,0.1796875,0.23512459599511415,50,0.033251639250378516,0.0651732129307419
z,10,6,0.17583984375,0.16875073006746658,50,0.023864957112177246,0.046775315939867404
z,10,9,0.173271484375,0.16421569878272377,50,0.02322360683731029,0.04551826940112817
z,10,7,0.170859375,0.17565777555561476,50,0.024841760852703954,0.048689851271299746
z,17,0,0.168701171875,0.21740236923749928,50,0.030745337906771482,0.0602608622972721
z,12,8,0.1685546875,0.1833005842873685,50,0.025922617229010916,0.0508083297688614
z,12,10,0.16625,0.12882568408428177,50,0.018218702961398305,0.035708657804340675
z,6,5,0.166162109375,0.20206331455803356,50,0.02857606799060319,0.05600909326158225
z,4,8,0.164921875,0.22274153778086941,50,0.031500410363354464,0.06174080431217475
z,4,6,0.164775390625,0.15622991970031402,50,0.022094247128864368,0.04330472437257416
z,6,6,0.164697265625,0.15072073095560604,50,0.021315130184820442,0.041777655162248066
z,15,11,0.1646484375,0.12368428407496837,50,0.017491599199122687,0.03428353443028047
z,16,0,0.16443359375,0.16323023258779623,50,0.023084240871497616,0.045245112108135324
z,0,10,0.163974609375,0.16506558504931318,50,0.02334379890577883,0.045753845855326505
z,1,3,0.16298828125,0.1374232345056881,50,0.01943458020231224,0.03809177719653199
z,4,11,0.162109375,0.17167442380842393,50,0.02427842984624597,0.0475857224986421
z,3,7,0.16134765625,0.11429435152385393,50,0.016163662202767225,0.03168077791742376
z,10,0,0.1611328125,0.12317240064321898,50,0.01741920794996928,0.034141647581939785
z,9,6,0.160419921875,0.13491700717401411,50,0.019080146134027892,0.03739708642269467
z,6,9,0.160185546875,0.11140975543511769,50,0.015755718711701307,0.030881208674934563
z,16,5,0.15958984375,0.16311297659992838,50,0.023067658370666398,0.04521261040650614
z,11,10,0.158037109375,0.16491287867332277,50,0.02332220296298018,0.04571151780744115
z,5,11,0.154921875,0.13678429067483416,50,0.019344219899193413,0.03791467100241909
z,1,11,0.154248046875,0.17696778388413123,50,0.025027024007204923,0.04905296705412165
z,15,1,0.152333984375,0.11320032008686945,50,0.016008942793182625,0.03137752787463795
z,15,7,0.15201171875,0.10416420114934018,50,0.0147310425979156,0.028872843491914577
z,9,2,0.15126953125,0.0840047658563681,50,0.011880067917805206,0.023284933118898204
z,9,7,0.150087890625,0.14765446295942491,50,0.020881494406213452,0.04092772903617837
z,6,3,0.1487109375,0.13713550843123062,50,0.019393889590637627,0.03801202359764975
z,12,9,0.1487109375,0.1809886048803493,50,0.02559565396567753,0.05016748177272796
z,1,8,0.148466796875,0.12691151117484376,50,0.017947998032472864,0.03517807614364681
z,18,11,0.147978515625,0.09959991813179819,50,0.014085555503323894,0.02760768878651483
z,16,4,0.14728515625,0.14887157723116365,50,0.021053620357218528,0.04126509590014831
z,3,9,0.147080078125,0.1246856040433871,50,0.017633207227083964,0.03456108616508457
z,11,8,0.14578125,0.14816186999043948,50,0.02095325259670388,0.0410683750895396
z,4,2,0.1456640625,0.11123378713375079,50,0.015730833035867225,0.03083243275029976
z,12,6,0.145078125,0.12049455858443331,50,0.017040503894226504,0.03339938763268395
z,10,1,0.14076171875,0.11640630517489875,50,0.01646233755240832,0.03226618160272031
z,6,4,0.140732421875,0.17362611407029613,50,0.024554440530035086,0.04812670343886877
z,11,6,0.140478515625,0.11864987299736557,50,0.016779625956671967,0.03288806687507705
z,9,8,0.14046875,0.11999785051561608,50,0.016970258765480355,0.03326170718034149
z,8,3,0.138642578125,0.12321886366085534,50,0.017425778812938292,0.03415452647335905
z,0,8,0.137294921875,0.09676358242899462,50,0.01368443706148911,0.026821496640518656
z,2,5,0.136884765625,0.13665729567320778,50,0.01932626009382805,0.037879469783902976
z,12,2,0.136123046875,0.140071455525804,50,0.01980909521059318,0.03882582661276263
z,10,4,0.13283203125,0.13558896954742108,50,0.019175175964215547,0.03758334488986247
z,12,0,0.1320703125,0.10548029391661425,50,0.014917166221997614,0.029237645795115324
z,13,7,0.13048828125,0.1216106044115774,50,0.017198336608724208,0.033708739753099445
z,21,11,0.12849609375,0.18090465915468393,50,0.025583782247303608,0.05014421320471507
z,16,8,0.128154296875,0.11328070063930945,50,0.016020310319923795,0.031399808227050637
z,5,1,0.12724609375,0.09608894565256865,50,0.013589029013599383,0.02663449686665479
z,2,11,0.125478515625,0.2871985114698364,50,0.04061600300140075,0.07960736588274547
z,7,4,0.125068359375,0.12078822938608422,50,0.01708203521728327,0.03348078902587521
z,9,9,0.125068359375,0.11394591949784387,50,0.01611438647309237,0.031584197487261045
z,14,10,0.123154296875,0.14770369999436145,50,0.02088845757447128,0.0409413768459637
z,11,11,0.12310546875,0.10120469621176524,50,0.01431250539585274,0.028052510575871367
z,17,8,0.122431640625,0.14491932096223728,50,0.020494686915469552,0.04016958635432032
z,6,2,0.12205078125,0.0890751650416896,50,0.012597130647257922,0.02469037606862553
z,18,8,0.1212109375,0.09880923907468196,50,0.013973736598718079,0.027388523733487435
z,13,2,0.12001953125,0.10149789908522308,50,0.014353970543869823,0.028133782265984852
z,7,7,0.119658203125,0.09797005991380814,50,0.013855058743661216,0.02715591513757598
z,5,8,0.11935546875,0.10015328201005798,50,0.01416381297348013,0.027761073428021053
z,11,1,0.119150390625,0.11303187347202448,50,0.01598512084445767,0.03133083685513703
z,14,3,0.118828125,0.14330856525053876,50,0.020266891658154155,0.039723107649982145
z,4,9,0.117646484375,0.11261552730662638,50,0.015926240605082867,0.03121543158596242
z,2,0,0.117119140625,0.11137549245248368,50,0.01575087319422847,0.030871711460687797
z,8,11,0.116689453125,0.09995308427496799,50,0.014135500738268067,0.027705581447005412
z,4,5,0.11591796875,0.0900653587086102,50,0.012737165178571428,0.02496484375
z,7,3,0.115673828125,0.09566998334897417,50,0.013529778796412744,0.026518366440968978
z,16,10,0.114111328125,0.0805567276141807,50,0.011392441673236955,0.022329185679544433
z,3,6,0.113740234375,0.09511943469669877,50,0.013451919459333335,0.026365762140293337
z,8,9,0.11326171875,0.08546518732897608,50,0.012086602703139515,0.02368974129815345
z,2,3,0.113154296875,0.1104243269848237,50,0.0156163580837859,0.030608061844220363
z,5,7,0.112548828125,0.09036766902067003,50,0.012779918312907455,0.02504863989329861
z,11,0,0.1122265625,0.10127485182202078,50,0.014322426897402735,0.028071956718909358
z,5,4,0.110439453125,0.11171519645525957,50,0.01579891459502028,0.030965872606239748
z,15,0,0.1102734375,0.08695018399962451,50,0.012296612946310506,0.02410136137476859
z,8,6,0.110166015625,0.09042260685411374,50,0.012787687695821804,0.025063867883810733
z,17,4,0.10974609375,0.10343980552944666,50,0.014628597586897893,0.02867205127031987
z,6,0,0.109365234375,0.10664754957570699,50,0.015082241100382183,0.029561192556749077
z,19,11,0.108740234375,0.109383996977158,50,0.015469233203167447,0.030319697078208196
z,4,3,0.107939453125,0.14004752374303223,50,0.01980571074541642,0.03881919306101618
