component,layer,head,abs_delta,std,n,sem,ci95
z,5,9,0.355712890625,0.14395107635593837,8,0.05089439112519325,0.09975300660537877
z,16,1,0.35400390625,0.2329423990064557,8,0.08235757498166366,0.16142084696406075
z,12,11,0.284423828125,0.16580355907973945,8,0.05862041048507406,0.11489600455074515
z,13,9,0.2177734375,0.25061613180672027,8,0.08860618313763674,0.173668118949768
z,15,9,0.198486328125,0.2044165495454373,8,0.07227216418516728,0.14165344180292788
z,16,9,0.1953125,0.2558646997128595,8,0.09046183211661132,0.17730519094855818
z,13,6,0.183837890625,0.10747227662967897,8,0.03799718779720125,0.07447448808251445
z,15,11,0.169677734375,0.14627193486719225,8,0.05171493852093432,0.10136127950103126
z,14,7,0.168701171875,0.13315237458463333,8,0.04707647349994276,0.09226988805988781
z,17,5,0.161376953125,0.13004241544847522,8,0.04597693690274753,0.09011479632938517
z,17,0,0.16015625,0.0827521996598828,8,0.029257320768803118,0.05734434870685411
z,16,5,0.15771484375,0.08338036799272094,8,0.029479411812741368,0.05777964715297308
z,12,1,0.15625,0.142423243298223,8,0.0503542205673775,0.09869427231205989
z,15,6,0.154052734375,0.15432490668458967,8,0.05456209401132726,0.10694170426220143
z,12,7,0.152099609375,0.09406590597235151,8,0.03325731999575295,0.06518434719167579
z,13,11,0.148681640625,0.114522513229395,8,0.040489822851515644,0.07936005278897067
z,12,9,0.139404296875,0.09500839712561825,8,0.03359054093859457,0.06583746023964536
z,24,6,0.138916015625,0.08180798099555396,8,0.028923489058568206,0.05669003855479368
z,18,1,0.137939453125,0.2055411373434783,8,0.0726697660141845,0.14243274138780163
z,10,10,0.130615234375,0.15770264164567527,8,0.0557563036593445,0.10928235517231523
z,15,7,0.128662109375,0.11702200693565074,8,0.041373527326128916,0.08109211355921267
z,17,2,0.12744140625,0.0972410257368567,8,0.03437989435403348,0.06738459293390561
z,18,4,0.126708984375,0.10133386384973309,8,0.0358269311459903,0.07022078504614099
z,15,10,0.122314453125,0.09321331631261306,8,0.032955884030767664,0.06459353270030462
z,17,3,0.114013671875,0.07596725535745229,8,0.026858480705692297,0.0526426221831569
z,19,9,0.10693359375,0.08848540070370542,8,0.0312843134367995,0.06131725433612702
z,19,11,0.10546875,0.07421875,8,0.026240290708094534,0.05143096978786529
z,6,3,0.104736328125,0.09074865464643603,8,0.032084494542025506,0.06288560930236999
z,17,4,0.104736328125,0.06120428575883981,8,0.021638982748877433,0.04241240618779977
z,13,7,0.101318359375,0.10052937307350057,8,0.03554250070435228,0.06966330138053048
