component,layer,head,delta_margin
resid_pre,0,,-2.0859375
resid_pre,1,,-2.14892578125
resid_pre,2,,-2.04931640625
resid_pre,3,,-2.1728515625
resid_pre,4,,-2.06689453125
resid_pre,5,,-2.09326171875
resid_pre,6,,-1.90625
resid_pre,7,,-1.82958984375
resid_pre,8,,-1.86962890625
resid_pre,9,,-1.83447265625
resid_pre,10,,-1.9951171875
resid_pre,11,,-1.30078125
resid_pre,12,,-0.88671875
resid_pre,13,,-0.26953125
resid_pre,14,,-0.263671875
resid_pre,15,,-0.23046875
resid_pre,16,,0.201171875
resid_pre,17,,0.572265625
resid_pre,18,,1.208984375
resid_pre,19,,1.26171875
resid_pre,20,,1.1640625
resid_pre,21,,1.037109375
resid_pre,22,,0.875
resid_pre,23,,0.6171875
resid_pre,24,,-0.01171875
resid_pre,25,,0.044921875
resid_pre,26,,0.025390625
resid_pre,27,,-0.021484375
