component,layer,head,abs_delta,std,n,sem,ci95
pattern,0,2,0.1709858775138855,0.125318350369582,8,0.04430672767672156,0.08684118624637426
pattern,8,3,0.16735422611236572,0.14303967099293688,8,0.05057216066889918,0.09912143491104239
pattern,12,11,0.16038116812705994,0.11416410580107213,8,0.04036310669001828,0.07911168911243582
pattern,19,11,0.15515947341918945,0.13593805200631873,8,0.04806135919747876,0.09420026402705838
pattern,13,3,0.15441995859146118,0.09405835157730734,8,0.033254649113771205,0.06517911226299156
pattern,13,11,0.13763245940208435,0.0783067693621315,8,0.02768562381438708,0.05426382267619868
pattern,10,3,0.12871241569519043,0.10008811948314499,8,0.03538649400137061,0.06935752824268639
pattern,0,7,0.12600991129875183,0.06615815154812646,8,0.02339043879522375,0.04584526003863855
pattern,13,9,0.12072786688804626,0.0934052632625293,8,0.03302374752572459,0.06472654515042019
pattern,15,10,0.108970046043396,0.06683140613324025,8,0.0236284702365232,0.04631180166358547
pattern,11,10,0.10630583763122559,0.07052455516156565,8,0.0249341955974539,0.048871023371009646
pattern,11,7,0.1046777069568634,0.10459267649685162,8,0.036979095406687305,0.07247902699710712
pattern,15,1,0.10167369246482849,0.07772706971594334,8,0.027480669038951536,0.05386211131634501
pattern,20,6,0.10049211978912354,0.0797376631775906,8,0.02819152117442159,0.05525538150186631
pattern,9,11,0.09966737031936646,0.061308726734040024,8,0.021675908209776336,0.04248478009116162
pattern,13,6,0.09942913055419922,0.060242419625007766,8,0.02129891171596427,0.04174586696328997
pattern,10,9,0.09917712211608887,0.10754244596701334,8,0.03802199640433151,0.07452311295248976
pattern,16,7,0.09915211796760559,0.08742256619539285,8,0.030908544692746058,0.06058074759778227
pattern,9,0,0.0962800681591034,0.10303976667301436,8,0.03643005887318403,0.07140291539144071
pattern,9,2,0.09551477432250977,0.06767366092246876,8,0.023926252272998366,0.0468954544550768
pattern,0,8,0.09523090720176697,0.08966127543182512,8,0.03170004793383916,0.062132093950324756
pattern,0,1,0.09505385160446167,0.055263952655999156,8,0.019538757839114657,0.03829596536466472
pattern,12,0,0.09303209185600281,0.05729884257002956,8,0.020258200067704162,0.03970607213270016
pattern,19,8,0.09212702512741089,0.06467862333450956,8,0.02286734657882109,0.044819999294489335
pattern,17,3,0.08962148427963257,0.09291303028927018,8,0.032849716889067015,0.06438544510257135
pattern,10,11,0.08928641676902771,0.10208380714432312,8,0.0360920761405453,0.07074046923546878
pattern,19,7,0.08891913294792175,0.07758437312617841,8,0.027430218175814047,0.05376322762459553
pattern,13,10,0.08705559372901917,0.048951237167354625,8,0.017306875874253707,0.03392147671353726
pattern,12,3,0.08566012978553772,0.06315895918469233,8,0.022330064166090163,0.043766925765536716
pattern,0,9,0.08464381098747253,0.05347659315606016,8,0.01890683082770213,0.037057388422296174
pattern,10,10,0.08461809158325195,0.07499114116109817,8,0.02651337222196507,0.05196620955505154
pattern,2,3,0.08411842584609985,0.06584593006755352,8,0.023280051832151136,0.04562890159101623
pattern,12,2,0.08380141854286194,0.03353792410610184,8,0.011857446781172195,0.0232405956910975
pattern,12,5,0.08207416534423828,0.05070299186682268,8,0.01792621468773834,0.03513538078796715
pattern,7,7,0.08199086785316467,0.0652495277168934,8,0.02306919175891745,0.0452156158474782
pattern,18,11,0.08163481950759888,0.04724177241952766,8,0.016702488816559807,0.03273687808045722
pattern,4,9,0.07958289980888367,0.09223721819019046,8,0.03261078123003342,0.06391713121086551
pattern,8,2,0.07898107171058655,0.10367012926984866,8,0.036652925706597984,0.07183973438493205
pattern,9,5,0.0789533257484436,0.0699331982040845,8,0.024725119340085516,0.04846123390656761
pattern,20,10,0.07858231663703918,0.11658735328976838,8,0.04121985405589348,0.08079091394955122
pattern,7,8,0.07843431830406189,0.05125869119592664,8,0.018122684069693452,0.035520460776599164
pattern,14,8,0.07817345857620239,0.05577137067977522,8,0.019718157201868824,0.03864758811566289
pattern,9,10,0.07709097862243652,0.069476593766365,8,0.02456368529296985,0.048144823174220905
pattern,19,10,0.07695218920707703,0.08364869326474898,8,0.029574279122448744,0.05796558707999954
pattern,9,3,0.07599279284477234,0.10060887993106342,8,0.03557061062341904,0.06971839682190131
pattern,10,8,0.07578417658805847,0.08267100811777416,8,0.02922861522380311,0.05728808583865409
pattern,12,7,0.07515347003936768,0.05138754930243661,8,0.01816824229015548,0.03560975488870474
pattern,10,0,0.07362046837806702,0.04722815401603143,8,0.01669767398382925,0.03272744100830533
pattern,10,4,0.07231676578521729,0.11689743526672246,8,0.04132948459020746,0.08100578979680662
pattern,18,9,0.07205888628959656,0.04641247430831947,8,0.016409287657529557,0.03216220380875793
pattern,4,7,0.07194679975509644,0.09104397949803116,8,0.03218890764463341,0.06309025898348149
pattern,25,3,0.0719062089920044,0.05817655239153758,8,0.02056851735105534,0.04031429400806846
pattern,6,6,0.07185247540473938,0.02473253230215807,8,0.008744270653385653,0.01713877048063588
pattern,19,9,0.07153603434562683,0.07090618873845486,8,0.02506912344252732,0.049135481947353545
pattern,16,5,0.07012045383453369,0.04734912657447454,8,0.016740444242035555,0.03281127071438969
pattern,7,2,0.06948873400688171,0.04128660562822457,8,0.014597019405946134,0.02861015803565442
pattern,14,9,0.0694836676120758,0.04396533119906181,8,0.015544091913984545,0.03046642015140971
pattern,16,11,0.06841149926185608,0.04606899170325446,8,0.016287848217899012,0.031924182507082066
pattern,8,1,0.06839093565940857,0.05709751771072637,8,0.020187020981086806,0.03956656112293014
pattern,16,3,0.06830480694770813,0.05114662556885045,8,0.018083062887271704,0.03544280325905254
pattern,16,10,0.06817519664764404,0.050940173596933466,8,0.018010071092605787,0.03529973934150734
pattern,17,5,0.06774130463600159,0.05793226121322436,8,0.020482147376670673,0.04014500885827452
pattern,8,5,0.06773826479911804,0.05487380125496865,8,0.019400818488435605,0.03802560423733378
pattern,0,5,0.06733626127243042,0.06416179481337321,8,0.022684620102818024,0.04446185540152332
pattern,2,0,0.06694036722183228,0.048348862765379086,8,0.01709390436202866,0.033504052549576176
pattern,3,10,0.06625297665596008,0.057812366799480104,8,0.0204397583001782,0.04006192626834927
pattern,20,7,0.0659169852733612,0.06971447127961858,8,0.024647787694326552,0.04830966388088004
pattern,13,7,0.06566458940505981,0.05471000349850288,8,0.019342907236265562,0.0379120981830805
pattern,0,3,0.06514903903007507,0.05278973403965428,8,0.018663989458236926,0.03658141933814438
pattern,18,7,0.06506013870239258,0.0347727655403444,8,0.012294029157093713,0.024096297147903678
