component,layer,head,abs_delta,std,n,sem,ci95
z,0,10,1.0564685845375061,1.8334064780567707,50,0.2592828306610575,0.5081943480956727
z,11,8,0.5858043074607849,0.5490199074937511,50,0.07764313991904848,0.152180554241335
z,0,6,0.5349781894683838,0.49221807089860087,50,0.0696101471509923,0.1364358884159449
z,15,7,0.46586337566375735,0.30263643949309227,50,0.042799255719943564,0.08388654121108939
z,18,8,0.42643906116485597,1.0795272680075982,50,0.15266821033679204,0.29922969226011237
z,10,8,0.4069016671180725,0.3616122233737675,50,0.05113969106150711,0.10023379448055394
z,19,6,0.3230069971084595,0.26327265806282607,50,0.0372323763634463,0.07297545767235475
z,13,11,0.3198171448707581,0.1995933109789371,50,0.02822675673453636,0.055324443199691264
z,14,9,0.30193461656570436,0.18408504510092064,50,0.026033556741178483,0.051025771212709826
z,18,10,0.2914449787139893,0.26016321027254125,50,0.036792634039795116,0.07211356271799843
z,9,0,0.2909230589866638,0.31499961631794987,50,0.0445476729539166,0.08731343898967654
z,7,3,0.2752308773994446,0.2352061051025757,50,0.033263166378901414,0.06519580610264678
z,15,5,0.267971568107605,0.21078531333021067,50,0.029809544886064625,0.05842670797668666
z,0,3,0.26445762157440184,0.22593612834036045,50,0.031952193692900595,0.06262629963808516
z,9,2,0.2611021828651428,0.34642103038652655,50,0.04899133194638879,0.09602301061492204
z,8,3,0.25616897821426393,0.32545666572459636,50,0.046026523063245096,0.09021198520396038
z,10,3,0.2500897479057312,0.24843775713885774,50,0.03513440455513258,0.06886343292805985
z,16,7,0.21818116188049316,0.12039437274837149,50,0.01702633547741487,0.033371617535733145
z,7,8,0.2169529390335083,0.20160562008262173,50,0.028511340217148125,0.05588222682561032
z,19,11,0.2158830499649048,0.18237747079621477,50,0.025792069267131,0.050552455763576754
z,13,9,0.20450077056884766,0.14788481305069326,50,0.02091407082853001,0.040991578823918816
z,13,7,0.20132017612457276,0.15707739520077404,50,0.022214098263517317,0.04353963259649394
z,8,5,0.19772411346435548,0.22940351145886836,50,0.03244255571611433,0.06358740920358409
