component,layer,head,abs_delta,std,n,sem,ci95
z,19,6,0.41303545236587524,0.19770672857468458,8,0.06989988423068381,0.13700377309214026
z,16,10,0.1872289478778839,0.18539835132138963,8,0.06554821572008025,0.1284745028113573
z,15,1,0.1755530834197998,0.151932860177563,8,0.053716377858311175,0.1052841006022899
z,20,7,0.17482036352157593,0.2093375247344903,8,0.07401199164828236,0.14506350363063342
z,19,8,0.1687801480293274,0.09677160217843174,8,0.03421392806332798,0.06705929900412284
z,20,11,0.16096118092536926,0.11475388526319955,8,0.04057162521855571,0.07952038542836919
z,16,7,0.1589122712612152,0.08396378667733728,8,0.029685681466822943,0.058183935674972966
z,15,7,0.15622994303703308,0.10254799168801049,8,0.03625619015982696,0.07106213271326084
z,15,0,0.15471312403678894,0.1378924391179076,8,0.048752339387312806,0.0955545851991331
z,20,8,0.15199905633926392,0.0919747795722347,8,0.03251799516683255,0.0637352705269918
z,13,11,0.1476059854030609,0.11724211724469799,8,0.0414513480721971,0.08124464222150632
z,20,9,0.14593365788459778,0.05282041239635008,8,0.018674835895264558,0.03660267835471853
z,15,2,0.13797786831855774,0.12134953673216278,8,0.04290354015857917,0.08409093871081516
z,16,4,0.12120148539543152,0.09956538809615458,8,0.035201680547130625,0.06899529387237602
z,15,5,0.12013357877731323,0.09750353337904377,8,0.03447270482098536,0.06756650144913132
z,17,3,0.12003839015960693,0.10360437776137658,8,0.03662967903784106,0.07179417091416848
z,13,9,0.11394134163856506,0.054167557901488514,8,0.01915112375622874,0.037536202562208326
z,16,8,0.11238476634025574,0.04120443571974963,8,0.014567967956200082,0.028553217194152162
z,21,0,0.11044073104858398,0.04278446475115222,8,0.015126592577488272,0.02964812145187701
z,20,6,0.10776346921920776,0.0392670045261912,8,0.013882982588676327,0.0272106458738056
z,10,10,0.10486018657684326,0.06864124424034795,8,0.024268344635716043,0.047565955486003446
z,19,11,0.10334739089012146,0.06588764594611367,8,0.023294800622457656,0.045657809220017005
z,11,9,0.09892851114273071,0.09678714885311888,8,0.03421942464287607,0.0670700723000371
z,10,8,0.09657126665115356,0.04555067290322942,8,0.016104594848741924,0.03156500590353417
z,19,9,0.09593680500984192,0.060332035654772596,8,0.021330595767139134,0.0418079677035927
z,9,5,0.09567144513130188,0.05125663965428551,8,0.018121958740190288,0.035519039130772964
z,13,6,0.09404847025871277,0.07438954553335772,8,0.026300676048011343,0.05154932505410223
z,23,11,0.0927661657333374,0.06463556075276232,8,0.02285212165703665,0.044790158447791835
z,24,11,0.08898746967315674,0.17636282972630618,8,0.06235367642435976,0.12221320579174513
z,17,0,0.08848798274993896,0.04805998252702902,8,0.016991769774284602,0.03330386875759782
z,18,10,0.08744990825653076,0.038382095889986784,8,0.013570120139980983,0.026597435474362725
z,24,5,0.08595845103263855,0.07942597968260452,8,0.0280813244179773,0.05503939585923551
z,14,9,0.08506003022193909,0.06513406544991228,8,0.023028369682940694,0.045135604578563755
z,8,6,0.08332186937332153,0.04442565201449281,8,0.015706839899040835,0.030785406202120037
z,16,6,0.08302968740463257,0.03182242815438696,8,0.011250927370894365,0.022051817646952954
z,12,9,0.08209139108657837,0.04829811176555514,8,0.017075961173964906,0.03346888390097121
z,15,10,0.07818341255187988,0.059446647735859705,8,0.02101756386641716,0.04119442517817763
z,18,8,0.07544583082199097,0.026978702866954973,8,0.009538411872420405,0.018695287269943992
z,16,11,0.07422253489494324,0.06043961539349084,8,0.021368630948522108,0.04188251665910333
z,20,10,0.07273596525192261,0.047824527686383754,8,0.01690852391704287,0.03314070687740402
z,10,0,0.07211405038833618,0.05954216869840234,8,0.02105133562659684,0.04126061782812981
z,12,10,0.07037967443466187,0.050081977263231915,8,0.01770665286903089,0.03470503962330054
z,16,0,0.07012751698493958,0.042804922415794325,8,0.015133825454186109,0.02966229789020477
z,15,3,0.06970757246017456,0.07407022568098894,8,0.026187779431522618,0.05132804768578433
z,16,9,0.06814965605735779,0.01905624627698887,8,0.006737400483209865,0.013205304947091335
z,27,3,0.06746801733970642,0.0172549959865118,8,0.006100562335704577,0.011957102177980971
z,16,1,0.0673011839389801,0.05573150941021816,8,0.01970406411486357,0.038619965665132594
z,17,5,0.06710517406463623,0.04256863693046661,8,0.01505028591970052,0.02949856040261302
z,15,11,0.06631940603256226,0.048577006337246965,8,0.01717456529540461,0.033662147978993036
z,21,6,0.06620094180107117,0.040340302087238974,8,0.014262450580500257,0.0279544031377805
z,11,7,0.06559145450592041,0.059761580491789985,8,0.021128909410085193,0.04141266244376698
z,22,5,0.065193772315979,0.039548188605866626,8,0.013982396173426422,0.027405496499915787
z,14,10,0.06493771076202393,0.03794166925472028,8,0.013414405809774923,0.02629223538715885
z,26,3,0.06248024106025696,0.065644101457516,8,0.02320869464275364,0.045489041499797135
z,16,5,0.06007233262062073,0.04186548820255536,8,0.014801685302856148,0.02901130319359805
