component,layer,head,delta_margin
resid_pre,0,,-3.0145488381385803
resid_pre,1,,-1.7496510744094849
resid_pre,2,,-2.0760512351989746
resid_pre,3,,-2.03839111328125
resid_pre,4,,-2.287690281867981
resid_pre,5,,-2.2449512481689453
resid_pre,6,,-2.206623136997223
resid_pre,7,,-2.115499496459961
resid_pre,8,,-2.2495883107185364
resid_pre,9,,-2.3868730664253235
resid_pre,10,,-2.415609121322632
resid_pre,11,,-2.4473772048950195
resid_pre,12,,-2.222578525543213
resid_pre,13,,-2.389971971511841
resid_pre,14,,-1.2108807563781738
resid_pre,15,,-1.0381066799163818
resid_pre,16,,0.612464427947998
resid_pre,17,,1.0147619247436523
resid_pre,18,,0.9489917755126953
resid_pre,19,,1.1085705757141113
resid_pre,20,,1.1152987480163574
resid_pre,21,,0.9744200706481934
resid_pre,22,,0.9357976913452148
resid_pre,23,,0.9268240928649902
resid_pre,24,,0.9377279281616211
resid_pre,25,,0.23639845848083496
resid_pre,26,,0.2239546775817871
resid_pre,27,,0.011878490447998047
