component,layer,head,abs_delta,std,n,sem,ci95
pattern,15,9,1.846435546875,2.432855771911327,8,0.8601444069836658,1.685883037687985
pattern,1,15,1.058349609375,2.042887240349147,8,0.7222697104251771,1.415648632433347
pattern,10,3,0.73583984375,0.4737868225764308,8,0.16750893754031093,0.3283175175790094
pattern,8,10,0.7265625,1.05294788742237,8,0.37227329571620366,0.7296556596037591
pattern,0,13,0.713134765625,1.055314296583877,8,0.3731099476987854,0.7312954974896194
pattern,7,13,0.6414794921875,0.7288206551065053,8,0.2576770137473159,0.5050469469447392
pattern,14,13,0.55078125,0.40457916408776035,8,0.14304033522662013,0.28035905704417546
pattern,3,11,0.5469970703125,0.5874896752977872,8,0.2077089666400741,0.4071095746145452
pattern,5,14,0.544677734375,0.5532605489264805,8,0.19560714295445297,0.38339000019072783
pattern,13,13,0.5308837890625,0.5677343423400892,8,0.20072440169058095,0.39341982731353864
pattern,10,4,0.5302734375,0.5369992784889532,8,0.18985791565591106,0.3721215146855857
pattern,12,6,0.52423095703125,0.7349840757416983,8,0.259856112010541,0.5093179795406603
pattern,12,10,0.498046875,0.9015183976586192,8,0.3187348861744201,0.6247203769018633
pattern,3,8,0.496826171875,0.7374540208426342,8,0.2607293694755561,0.5110295641720899
pattern,12,9,0.49578857421875,0.3914335710678081,8,0.1383926662430567,0.2712496258363912
pattern,9,5,0.495361328125,0.7883563085211492,8,0.2787260458732493,0.5463030499115686
pattern,13,1,0.484375,0.7118199977967695,8,0.2516663737131445,0.4932660924777632
pattern,10,2,0.48193359375,0.7742063545817413,8,0.27372328168123294,0.5364976320952166
pattern,0,8,0.4722900390625,0.8182764541334343,8,0.28930441480151714,0.5670366530109736
pattern,8,11,0.4696044921875,0.37868089674094635,8,0.13388391499566296,0.2624124733914994
pattern,3,13,0.4637451171875,0.649178205000831,8,0.22951915547729915,0.4498575447355063
pattern,3,10,0.461669921875,0.8827766575150234,8,0.31210868040103373,0.611733013586026
pattern,13,12,0.4615478515625,0.28049084978209154,8,0.09916849097084708,0.19437024230286026
pattern,1,0,0.45355224609375,0.7282570124598106,8,0.25747773597849405,0.5046563625178483
pattern,9,13,0.4495849609375,0.4426920377579884,8,0.15651527093798234,0.3067699310384454
pattern,0,1,0.444580078125,0.5554767726865321,8,0.1963906963791326,0.3849257649030999
pattern,0,2,0.4410400390625,0.375183038091628,8,0.13264723521038047,0.25998858101234573
pattern,5,4,0.431884765625,0.8812514825903143,8,0.3115694496351549,0.6106761212849037
pattern,0,12,0.430419921875,0.7147461156703806,8,0.2527009126086353,0.4952937887129252
pattern,12,11,0.422119140625,0.4543074040234773,8,0.1606219230641287,0.31481896920569225
pattern,5,15,0.418701171875,0.5734665580802709,8,0.20275104600113433,0.3973920501622233
pattern,10,6,0.41650390625,0.46404322904837403,8,0.16406405701190377,0.3215655517433314
pattern,10,5,0.4151611328125,0.6186399149982291,8,0.21872223950395855,0.42869558942775876
pattern,6,9,0.409912109375,0.5660717507318901,8,0.20013658679033022,0.3922677101090472
pattern,5,13,0.40234375,0.41543950613648745,8,0.14688004598095028,0.28788489012266255
pattern,5,8,0.400634765625,0.2893214888208614,8,0.10229059334410949,0.2004895629544546
pattern,5,7,0.39947509765625,0.6032287755442437,8,0.21327357889709625,0.4180162146383086
pattern,17,5,0.397216796875,0.5664129247413054,8,0.2002572100181413,0.392504131635557
pattern,3,5,0.39599609375,0.34296237829156945,8,0.12125551169091736,0.23766080291419803
pattern,0,5,0.3798828125,0.6883452532772079,8,0.2433667981949426,0.4769989244620875
pattern,8,4,0.379150390625,0.4869920900328556,8,0.17217770462322093,0.33746830106151304
pattern,12,12,0.3790283203125,0.517710361913508,8,0.18303825379979163,0.3587549774475916
pattern,19,1,0.37890625,0.3121719818644215,8,0.1103694626363882,0.21632414676732087
pattern,10,10,0.3778076171875,0.22117019402436452,8,0.0781954719954863,0.15326312511115314
pattern,4,4,0.3759765625,0.2938917751286709,8,0.10390643356421754,0.2036566097858664
pattern,1,14,0.37493896484375,0.6047802891585687,8,0.2138221217959925,0.4190913587201453
pattern,17,11,0.36700439453125,0.3280373735265006,8,0.1159787256516065,0.22731830227714872
pattern,7,1,0.363037109375,0.598869964841423,8,0.21173250659415974,0.41499571292455306
pattern,9,11,0.3587646484375,0.5671367425887524,8,0.2005131182722781,0.39300571181366506
pattern,4,5,0.353515625,0.5594418667636044,8,0.19779256883410284,0.3876734349148416
pattern,6,5,0.34716796875,0.3521166113128889,8,0.12449202181388576,0.2440043627552161
pattern,3,4,0.34674072265625,0.4843937347234521,8,0.1712590472936153,0.335667732695486
pattern,9,9,0.34130859375,0.39199501659462044,8,0.13859116721269465,0.27163868773688155
pattern,21,2,0.341064453125,0.28519626045595725,8,0.10083210486872608,0.19763092554270312
pattern,8,0,0.34033203125,0.11211953390072113,8,0.03964024136233745,0.0776948730701814
