component,layer,head,abs_delta,std,n,sem,ci95
z,0,3,8.86705078125,7.676077541670868,50,1.0855612965258468,2.1277001411906595
z,15,9,1.97423828125,2.0212505481708583,50,0.2858479938177281,0.560262067882747
z,10,3,1.29341796875,1.140539786653992,50,0.16129668347121917,0.31614149960358956
z,14,13,1.2516015625,1.1038330020325224,50,0.15610556020694014,0.30596689800560267
z,0,12,1.186044921875,1.2913704861374495,50,0.1826273655543918,0.35794963648660794
z,9,7,1.150859375,1.6354614380080414,50,0.2312891746369177,0.4533267822883587
z,0,9,1.134638671875,1.323184282342551,50,0.18712651576077463,0.3667679708911183
z,12,6,1.12328125,1.0148329120330615,50,0.14351904677397376,0.28129733167698856
z,0,1,0.98724609375,1.1295526843208197,50,0.15974287255814384,0.31309603021396193
z,0,2,0.980205078125,1.056210282961802,50,0.14937069068825048,0.2927665537489709
z,4,4,0.950458984375,0.6777635024628086,50,0.09585023372643944,0.1878664581038213
z,23,6,0.94546875,0.826695682763728,50,0.11691242465197497,0.22914835231787095
z,10,5,0.944560546875,1.9844043335607748,50,0.28063715217535906,0.5500488182637038
z,7,13,0.909541015625,0.7250832576985299,50,0.10254225768869268,0.20098282506983767
z,0,7,0.9025341796875,1.538784710031214,50,0.2176170206498493,0.42652936047370466
z,1,15,0.882294921875,1.321728714286589,50,0.18692066735220478,0.36636450801032133
z,3,11,0.873544921875,0.6502142884576877,50,0.09195418651856337,0.1802302055763842
z,0,5,0.858095703125,1.0216160677885475,50,0.1444783298604835,0.28317752652654765
z,14,12,0.811630859375,0.71736682998735,50,0.10145099001647047,0.19884394043228212
z,0,4,0.804384765625,1.1710694613689705,50,0.16561423147489535,0.3246038936907949
z,5,14,0.79279296875,0.7795300465483064,50,0.11024219641059449,0.2160747049647652
z,10,15,0.771318359375,1.413240594049199,50,0.19986240150005868,0.391730306940115
z,10,4,0.765625,1.3571258773315142,50,0.19192658215697128,0.3761761010276637
z,13,11,0.7558203125,1.0175399995596721,50,0.14390188676344015,0.28204769805634267
z,10,2,0.7161328125,0.9014472691067351,50,0.1274838953734934,0.24986843493204705
z,9,13,0.70107421875,0.9868924912518089,50,0.13956767457324792,0.27355264216356595
z,10,6,0.6983984375,1.1018280775436353,50,0.15582202106656834,0.30541116129047396
z,13,3,0.687216796875,1.8166868643830356,50,0.2569183202195541,0.503559907630326
z,9,6,0.685927734375,1.2297246564873112,50,0.17390932871889508,0.34086228428903437
z,11,9,0.677177734375,0.6996537590220666,50,0.09894598349743237,0.19393412765496745
z,17,15,0.663251953125,0.9367132901056955,50,0.1324712638922598,0.2596436772288292
z,2,12,0.6419384765625,0.5269256592718481,50,0.0745185413704632,0.14605634108610785
z,17,12,0.625341796875,0.5527754149644379,50,0.07817424887891236,0.15322152780266823
z,6,5,0.6211328125,1.0395879599065359,50,0.14701993921796003,0.28815908086720166
z,19,1,0.6131298828125,0.4067355982782179,50,0.05752109993849906,0.11274135587945816
z,9,5,0.6072705078125,0.54726727908322,50,0.07739528083225114,0.15169475043121222
z,9,2,0.604970703125,0.8985607992895562,50,0.12707568689720988,0.24906834631853136
z,0,10,0.5983251953125,0.5790910950556974,50,0.08189584804772544,0.16051586217354186
z,4,10,0.595947265625,0.45215584387408964,50,0.06394449267129892,0.1253312056357459
z,5,8,0.57990234375,0.8382296759875745,50,0.11854357761652329,0.23234541212838564
z,9,3,0.574833984375,0.7917964576849216,50,0.11197692890969906,0.21947478066301015
z,17,6,0.5703466796875,0.38748819638972226,50,0.05479910625938346,0.10740624826839158
z,17,14,0.5625390625,1.149404350849445,50,0.1625503221621928,0.3185986314378979
z,1,3,0.558583984375,0.5585992070755332,50,0.0789978574577076,0.1548358006171069
z,6,7,0.553486328125,0.5934134016633286,50,0.08392132807262322,0.1644858030223415
z,15,4,0.53953125,0.5042521223259965,50,0.07131201902488411,0.13977155728877286
z,17,11,0.53669921875,0.39651510749825813,50,0.05607570427098624,0.10990838037113303
z,10,13,0.532861328125,0.6301579716123721,50,0.08911779498917363,0.17467087817878033
z,11,5,0.5214404296875,0.6329160961414154,50,0.08950785270074234,0.17543539129345498
z,12,10,0.5179296875,1.2192102480056917,50,0.1724223668113914,0.3379478389503271
z,11,0,0.51544921875,0.8412755825438614,50,0.1189743338526855,0.23318969435126355
z,8,10,0.513076171875,0.5740841000468352,50,0.08118775202289871,0.15912799396488148
z,17,13,0.507568359375,0.519710552560929,50,0.0734981711940081,0.1440564155402559
z,14,5,0.50455078125,1.0856637636418898,50,0.15353604187193787,0.3009306420689982
z,0,14,0.504228515625,0.6770283327784679,50,0.09574626503261542,0.18766267946392623
z,19,7,0.502421875,0.4447271235462815,50,0.06289391296743263,0.12327206941616796
z,22,6,0.500458984375,0.6450465657999346,50,0.09122336017164565,0.17879778593642545
z,1,0,0.500009765625,0.597608837309324,50,0.08451465227168625,0.16564871845250506
z,11,2,0.498955078125,0.8104377217835892,50,0.11461320176051049,0.22464187545060055
z,16,13,0.4970166015625,0.478856383594286,50,0.06772051921079725,0.1327322176531626
z,2,9,0.495546875,0.6424800784229658,50,0.0908604040460288,0.17808639193021644
z,7,12,0.494248046875,0.5243348315690142,50,0.07415214300295123,0.1453382002857844
z,15,8,0.4859765625,0.545967207540487,50,0.0772114229514723,0.15133438898488571
z,23,7,0.4824609375,0.41385261748143304,50,0.05852759844658472,0.11471409295530605
z,12,14,0.482138671875,0.4055560077322503,50,0.057354280643683614,0.11241439006161988
z,20,14,0.481435546875,0.5164890774434631,50,0.07304258581381133,0.1431634681950702
z,2,5,0.479658203125,0.9462041543033674,50,0.1338134747789587,0.26227441056675904
z,7,7,0.47611328125,0.696817009161545,50,0.09854480648485141,0.19314782071030875
z,9,8,0.471923828125,0.5604055275685607,50,0.0792533097516308,0.15533648711319636
z,18,14,0.468935546875,0.3797546415777572,50,0.053705416449339786,0.10526261624070599
z,11,4,0.46798828125,0.7841138775256388,50,0.11089044800417143,0.217345278088176
z,7,11,0.46375,0.6342100870000428,50,0.0896908506429281,0.17579406726013908
z,13,2,0.456923828125,0.4417802974308485,50,0.06247716882159257,0.12245525089032144
z,16,9,0.456669921875,0.39683480639276486,50,0.05612091652223494,0.10999699638358049
z,8,0,0.45625,0.8611519752708227,50,0.12178528026923775,0.238699149327706
z,9,12,0.449912109375,0.38115869170827554,50,0.05390397912302286,0.1056517990811248
z,6,0,0.448349609375,0.6159825807086866,50,0.08711309198238042,0.1707416602854656
z,5,15,0.4446875,0.6832882927240684,50,0.09663155705811349,0.18939785183390245
z,6,9,0.4441796875,0.6205463893869967,50,0.08775851199527464,0.17200668351073828
z,7,14,0.44384765625,0.6000837465475305,50,0.08486465729271765,0.16633472829372659
z,8,11,0.44224609375,0.40917428928222155,50,0.05786598292772899,0.11341732653834881
z,2,4,0.4416455078125,0.6271902990419825,50,0.08869810270940089,0.17384828131042573
z,12,3,0.441533203125,0.4123454053719164,50,0.05831444646591958,0.11429631507320237
z,19,6,0.4358740234375,0.5573933497858131,50,0.07882732348436673,0.15450155402935878
z,2,6,0.435458984375,0.6184852942143532,50,0.08746702912062522,0.17143537707642542
z,5,1,0.4307421875,0.44692852210950357,50,0.06320523773786237,0.12388226596621023
z,5,3,0.425673828125,0.5841356563543437,50,0.08260925674820224,0.1619141432264764
z,18,13,0.424951171875,0.3277924634853,50,0.04635685475045988,0.09085943531090136
z,24,2,0.424013671875,0.7423702675620752,50,0.10498701006888302,0.2057745397350107
z,10,10,0.4219775390625,0.5278218498069743,50,0.07464528185138779,0.14630475242872007
z,5,7,0.420107421875,0.5000250760427145,50,0.0707142244066245,0.13859987983698402
z,17,10,0.418916015625,0.7610726493579648,50,0.10763192626732568,0.21095857548395833
z,2,2,0.416171875,0.6925328986202294,50,0.097938941761828,0.19196032585318287
z,8,14,0.41453125,0.3151054442606007,50,0.04456263928509409,0.08734277299878442
z,4,15,0.410546875,0.3853534605278851,50,0.05449720901859403,0.1068145296764443
z,10,11,0.410263671875,0.7969571898329393,50,0.1127067666492492,0.2209052626325284
z,0,8,0.406376953125,0.5352711871409567,50,0.07569877724022879,0.14836960339084843
z,21,2,0.4061328125,0.36984743889775884,50,0.05230432640981651,0.10251647976324037
z,4,11,0.401904296875,0.4395576141765724,50,0.06216283394128689,0.1218391545249223
z,8,8,0.4016015625,0.41974054654633863,50,0.05936027736037275,0.11634614362633058
z,9,9,0.4014208984375,0.5119072008998934,50,0.07239461061890778,0.14189343681305924
z,9,10,0.400791015625,0.5027152671671203,50,0.07109467488397554,0.13934556277259205
z,17,0,0.40015625,0.2796081792344695,50,0.0395425679223834,0.07750343312787146
z,13,7,0.39896484375,0.5689331885516435,50,0.08045930313339035,0.15770023414144507
z,19,9,0.396259765625,0.49884835964645713,50,0.0705478115779591,0.13827371069279984
z,6,15,0.387529296875,0.5321444745464378,50,0.07525659330454765,0.14750292287691338
z,10,12,0.38357421875,0.6150470783727054,50,0.08698079197326279,0.17048235226759506
z,11,1,0.38337890625,0.4803144751027693,50,0.06792672448944506,0.13313637999931233
z,8,4,0.3818701171875,0.3178031153326048,50,0.04494414758677906,0.08809052927008695
z,4,8,0.3798681640625,0.5967898916801266,50,0.08439883587012054,0.16542171830543625
z,0,0,0.37884765625,0.39557774088915043,50,0.05594314061383465,0.10964855560311591
z,7,5,0.3773828125,0.5883532047865375,50,0.08320570816747963,0.16308318800826008
z,10,7,0.376083984375,0.5328939337394982,50,0.07536258284007478,0.14771066236654656
z,2,15,0.3758984375,0.3428390884187097,50,0.04848476885533679,0.09503014695646012
z,5,5,0.3730078125,0.3966581565970298,50,0.05609593446854305,0.10994803155834437
z,5,11,0.371005859375,0.5113624150055764,50,0.07231756625887453,0.14174242986739408
z,24,6,0.3708203125,0.3527217260519652,50,0.04988238487263366,0.09776947435036197
z,7,4,0.36869140625,0.4757969735385565,50,0.06728785329142992,0.13188419245120264
z,8,3,0.36818359375,0.7370599186455556,50,0.10423601332301548,0.20430258611311033
z,18,2,0.367529296875,0.2840012944768477,50,0.04016384823806732,0.07872114254661194
z,16,12,0.365576171875,0.41027102333530013,50,0.058021084544947,0.11372132570809611
z,4,5,0.364697265625,0.35932349620387083,50,0.050816016161083145,0.09959939167572296
z,8,2,0.362529296875,0.626547266108897,50,0.08860716411989868,0.1736700416750014
z,1,6,0.3623583984375,0.44540645562888015,50,0.06298998503188925,0.12346037066250294
z,22,7,0.362255859375,0.320325992617152,50,0.04530093631398002,0.08878983517540084
z,2,0,0.36203125,0.7567696270942741,50,0.1070233870228752,0.20976583856483538
z,12,5,0.358876953125,0.4252755554047972,50,0.060143045819921484,0.11788036980704611
z,19,0,0.35875,0.3339081293876707,50,0.047221740516667415,0.09255461141266813
z,0,11,0.357333984375,0.5701909771820208,50,0.08063718130735818,0.15804887536242204
z,23,8,0.356357421875,0.49947806471576006,50,0.07063686532288943,0.1384482560328633
z,5,13,0.355576171875,0.42608819259591685,50,0.060257970073618494,0.11810562134429224
z,14,8,0.354189453125,0.4879006397849221,50,0.06899957018743469,0.13523915756737198
z,12,11,0.353076171875,0.6622043895333792,50,0.09364984287411009,0.18355369203325578
z,10,8,0.351650390625,0.7912057334485808,50,0.11189338788703349,0.21931104025858564
z,0,6,0.3498974609375,0.615607601782609,50,0.08706006195409412,0.17063772143002448
z,20,6,0.348984375,0.35476480094529683,50,0.05017131929494302,0.09833578581808831
z,5,10,0.34658203125,0.47628467740678226,50,0.06735682503391659,0.1320193770664765
z,1,1,0.346572265625,0.40144011502232846,50,0.05677220551451921,0.11127352280845765
z,0,13,0.346513671875,0.6779611583146713,50,0.0958781864850781,0.1879212455107531
z,13,6,0.34466796875,0.32975598933773825,50,0.04663453923951871,0.09140369690945667
z,25,10,0.344326171875,0.4644267286217246,50,0.06567985783454118,0.1287325213557007
z,10,0,0.3439892578125,0.503182801770423,50,0.07116079426166247,0.13947515675285843
z,6,3,0.3430859375,0.31268936585514623,50,0.044220954200219036,0.0866730702324293
z,13,10,0.342978515625,0.424271402200189,50,0.06000103711185575,0.11760203273923726
z,6,1,0.34189453125,0.38433315972829885,50,0.054352916695746524,0.10653171672366318
z,5,4,0.340830078125,0.3894379245719172,50,0.05507483946320357,0.107946685347879
z,7,1,0.33609375,0.3385295248284621,50,0.04787530452761305,0.09383559687412157
