component,layer,head,abs_delta,std,n,sem,ci95
z,14,13,0.846435546875,1.2409457489078748,8,0.43874057706868846,0.8599315310546294
z,19,1,0.8216552734375,0.4188351989810657,8,0.14808060469956424,0.2902379852111459
z,15,9,0.818603515625,0.7496420142170911,8,0.2650384758576237,0.5194754126809424
z,14,12,0.816162109375,1.5945309347207268,8,0.563751818376375,1.104953564017695
z,10,4,0.625244140625,1.2331419540984299,8,0.43598151895431503,0.8545237771504575
z,17,15,0.60614013671875,0.5940530871033066,8,0.21002948313777542,0.4116577869500398
z,23,6,0.57275390625,0.5395836374429617,8,0.19077162452661084,0.3739123840721572
z,17,12,0.558837890625,0.3186381638034344,8,0.11265560318511918,0.22080498224283357
z,11,9,0.55804443359375,0.48134947458227867,8,0.17018273879885545,0.33355816804575666
z,19,7,0.51708984375,0.31597494233652507,8,0.1117140122055926,0.21895946392296148
z,10,5,0.500732421875,1.0979222962864272,8,0.38817415046001924,0.7608213349016377
z,12,6,0.4742431640625,0.32980557279309347,8,0.11660387849755495,0.2285436018552077
z,19,6,0.4671630859375,0.45407109077749835,8,0.16053837371477073,0.31465521248095063
z,17,11,0.461669921875,0.417219603452913,8,0.14750940542275853,0.2891184346286067
z,13,3,0.44970703125,0.5719439022058963,8,0.2022127058540424,0.39633690347392314
z,10,6,0.44287109375,0.41100803082853804,8,0.1453132828604944,0.28481403440656905
z,10,2,0.440185546875,0.46801111023678826,8,0.1654669148595389,0.3243151531246962
z,16,9,0.4288330078125,0.2311896624702103,8,0.08173788903645739,0.16020626251145648
z,13,7,0.42828369140625,0.4868113644173894,8,0.17211380846910582,0.3373430645994474
z,18,2,0.4254150390625,0.22050669883534652,8,0.07796089102176665,0.15280334640266263
z,17,13,0.4166259765625,0.3541574530378086,8,0.12521356832539535,0.24541859391777487
z,14,5,0.410888671875,0.6315521660901253,8,0.22328740965769017,0.4376433229290727
z,13,11,0.404296875,0.7838516947437688,8,0.2771334243989433,0.5431815118219289
z,21,15,0.3974609375,0.2805263352393761,8,0.09918103697458679,0.1943948324701901
z,9,6,0.390625,0.3105056337732227,8,0.10978031961883622,0.21516942645291898
z,27,13,0.39013671875,0.3543874442485844,8,0.1252948824977718,0.2455779696956327
z,17,0,0.388671875,0.25080958479224974,8,0.08867457909659109,0.17380217502931852
z,9,2,0.38714599609375,0.4026921545486109,8,0.14237317660597198,0.27905142614770506
z,14,10,0.36962890625,0.40382246849274034,8,0.14277280293335382,0.2798346937493735
z,12,10,0.360595703125,0.6768069810685698,8,0.2392874029339905,0.4690033097506214
z,17,2,0.356689453125,0.2560114850380072,8,0.09051372856600662,0.17740690798937298
z,13,6,0.34814453125,0.5404938517478292,8,0.19109343388026323,0.37454313040531595
z,18,14,0.3297119140625,0.28463688862777775,8,0.10063433706227086,0.19724330064205087
z,15,8,0.322509765625,0.3061211362148864,8,0.10823016564103849,0.21213112465643544
z,17,10,0.316650390625,0.3199455472052142,8,0.11311783301962379,0.2217109527184626
z,12,3,0.3043212890625,0.21053663643926565,8,0.07443594165720575,0.14589444564812326
z,16,12,0.2978515625,0.07110632002297561,8,0.025139880536733418,0.049274165851997495
z,22,9,0.294921875,0.16976946931664,8,0.06002257149611882,0.11764424013239289
z,17,9,0.2933349609375,0.16574125297167072,8,0.05859838194931169,0.11485282862065091
z,16,1,0.2882080078125,0.20938780365208962,8,0.07402976793007494,0.1450983451429469
z,9,3,0.2880859375,0.35136248030228573,8,0.12422539623813547,0.24348177662674553
z,18,13,0.270263671875,0.20355899266092173,8,0.07196897204102021,0.14105918520039962
z,13,2,0.269287109375,0.219213966820065,8,0.07750384123463538,0.15190752881988534
z,17,14,0.26611328125,0.2126197541617277,8,0.07517243499098715,0.1473379725823348
z,20,4,0.26220703125,0.1395113002030556,8,0.04932469321286639,0.09667639869721811
z,16,8,0.2607421875,0.18733425989456798,8,0.06623266276000604,0.12981601900961184
z,11,5,0.253173828125,0.24962465174264764,8,0.08825564199927823,0.17298105831858532
z,18,15,0.25244140625,0.1061781183286013,8,0.037539633741890815,0.073577682134106
z,22,7,0.243896484375,0.21811490410680287,8,0.07711526388588692,0.15114591721633835
z,11,4,0.242919921875,0.39552167703322383,8,0.13983802996823405,0.27408253873773875
z,21,14,0.238525390625,0.19789706637433746,8,0.06996717880510915,0.13713567045801392
z,19,10,0.23583984375,0.10971204247906177,8,0.03878906460738557,0.07602656663047572
z,10,3,0.23193359375,0.14798063945435672,8,0.05231905682124859,0.10254535136964724
z,23,3,0.224365234375,0.18457492583284,8,0.06525709084670261,0.1279038980595371
z,9,7,0.22052001953125,0.2677409976103737,8,0.09466073750597322,0.1855350455117075
z,12,11,0.219482421875,0.25120458586952427,8,0.08881423306674949,0.174075896810829
