component,layer,head,delta_margin
resid_pre,0,,-1.3828125
resid_pre,1,,-0.625
resid_pre,2,,1.5087890625
resid_pre,3,,4.31640625
resid_pre,4,,4.12890625
resid_pre,5,,4.1640625
resid_pre,6,,4.21484375
resid_pre,7,,4.18359375
resid_pre,8,,4.44921875
resid_pre,9,,4.345703125
resid_pre,10,,1.83349609375
resid_pre,11,,1.47705078125
resid_pre,12,,3.0830078125
resid_pre,13,,4.126953125
resid_pre,14,,5.55078125
resid_pre,15,,6.37109375
resid_pre,16,,6.85546875
resid_pre,17,,7.53515625
resid_pre,18,,8.51171875
resid_pre,19,,8.00390625
resid_pre,20,,8.41015625
resid_pre,21,,7.41015625
resid_pre,22,,3.748046875
resid_pre,23,,2.4990234375
resid_pre,24,,1.59375
resid_pre,25,,1.40625
resid_pre,26,,0.34375
resid_pre,27,,0.125
